B, 4,treatment,2,45,77,0.7806951629031242,777
B, 3,treatment,3,50,79,0.6342629499716553,777
B, 7,treatment,3,50,79,0.748692257574326,777
B, 2,treatment,3,50,79,0.7797004749044679,777
B, 4,treatment,3,50,79,0.7833574787939868,777
B, 7,treatment,4,46,73,0.7683138070042832,777
B, 3,treatment,4,46,73,0.6246456095941463,777
B, 4,treatment,4,46,73,0.7833434540868817,777
B, 2,treatment,4,46,73,0.7802444038958176,777
B, 7,treatment,5,48,73,0.7684219038695725,777
B, 3,treatment,5,48,73,0.6798713794931552,777
B, 4,treatment,5,48,73,0.7923816806815319,777
B, 2,treatment,5,48,73,0.7991067327779877,777
B, 7,treatment,6,50,77,0.7715148848891409,777
B, 3,treatment,6,50,77,0.6695148304306291,777
B, 4,treatment,6,50,77,0.8044339890663056,777
B, 2,treatment,6,50,77,0.785870607888217,777
B, 7,treatment,7,46,75,0.7756585707199547,777
B, 3,treatment,7,46,75,0.6881685110386747,777
B, 4,treatment,7,46,75,0.7803292902809272,777
B, 2,treatment,7,46,75,0.8057582986898463,777
B, 2,treatment,8,45,75,0.8073659730095742,777
B, 4,treatment,8,45,75,0.8130969112181909,777
B, 3,treatment,8,45,75,0.6972805518812464,777
B, 7,treatment,8,45,75,0.7795144629997061,777
B, 2,treatment,9,48,70,0.7731784119897959,777
B, 4,treatment,9,48,70,0.7708248857027379,777
B, 3,treatment,9,48,70,0.6769499755920887,777
B, 7,treatment,9,48,70,0.7883496183967414,777
B, 2,treatment,10,46,73,0.7896945960097002,148
B, 4,treatment,10,46,73,0.7884074395576132,137
B, 3,treatment,10,46,73,0.6671175897056354,142
B, 7,treatment,10,46,73,0.8215545477450239,128
B, 1,control,1,43,73,0.5086846563471067,152
B, 5,control,1,43,73,0.5086846563471067,140
B, 6,control,1,43,73,0.5086846563471067,145
B, 8,control,1,43,73,0.5086846563471067,150
B, 1,control,2,45,77,0.4925461552290669,777
B, 5,control,2,45,77,0.4925461552290669,777
B, 6,control,2,45,77,0.4925461552290669,777
B, 8,control,2,45,77,0.4925461552290669,777
B, 1,control,3,50,79,0.5514006335558915,777
B, 5,control,3,50,79,0.5514006335558915,777
B, 6,control,3,50,79,0.5514006335558915,777
B, 8,control,3,50,79,0.5514006335558915,777
B, 1,control,4,46,73,0.5409117109420929,777
B, 5,control,4,46,73,0.5409117109420929,777
B, 6,control,4,46,73,0.5409117109420929,777
B, 8,control,4,46,73,0.5409117109420929,777
B, 1,control,5,48,73,0.5733166578745695,777
B, 5,control,5,48,73,0.5733166578745695,777
B, 6,control,5,48,73,0.5733166578745695,777
B, 8,control,5,48,73,0.5733166578745695,777
B, 1,control,6,50,77,0.5767713287089528,777
B, 5,control,6,50,77,0.5767713287089528,777
B, 6,control,6,50,77,0.5767713287089528,777
B, 8,control,6,50,77,0.5767713287089528,777
B, 1,control,7,46,75,0.5920366072740825,777
B, 5,control,7,46,75,0.5920366072740825,777
B, 6,control,7,46,75,0.5920366072740825,777
B, 8,control,7,46,75,0.5920366072740825,777
B, 1,control,8,45,75,0.6128024415784833,777
B, 5,control,8,45,75,0.6128024415784833,777
B, 6,control,8,45,75,0.6128024415784833,777
B, 8,control,8,45,75,0.6128024415784833,777
B, 1,control,9,48,70,0.6346900884196272,777
B, 5,control,9,48,70,0.6346900884196272,777
B, 6,control,9,48,70,0.6346900884196272,777
B, 8,control,9,48,70,0.6346900884196272,777
B, 1,control,10,46,73,0.6537261268319056,130
B, 5,control,10,46,73,0.6537261268319056,116
B, 6,control,10,46,73,0.6537261268319056,122
B, 8,control,10,46,73,0.6537261268319056,124
J,3,treatment,1,36,66,0.6840271189578175,159.0
J,9,treatment,1,36,66,0.7862283914915494,166.0
J,8,treatment,1,36,66,0.8211836539512698,185.0
J,5,control,1,36,66,0.8009618708658554,161.0
J,4,control,1,36,66,0.7498855932926933,175.0
J,6,control,1,36,66,0.7302764795315052,171.0
J,7,control,1,36,66,0.7512992142720504,146.0
J,2,control,1,36,66,0.8171171081977718,159.0
J,1,treatment,1,36,66,0.8459235223246407,157.0
J,3,treatment,2,40,63,0.7261670010223156,777
J,9,treatment,2,40,63,0.8830945250284056,777
J,8,treatment,2,40,63,0.8572692761363536,777
J,5,control,2,40,63,0.8204013226434751,777
J,4,control,2,40,63,0.7859270253555968,777
